snp	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
M2276											N [K2a1], N	N [K2a1]~, N~
M2277											N [K2a1], N	N [K2a1], N
M2279											N [K2a1], N	N [K2a1], N
M227   (formerly
I1a1)			I1b									
M227   (formerly
I1a4)	I1a1	I1a1										
M228.1											R1b1a1a2a1a2~	R1b1a1a2a1a2~
M228.2											D1b2a2b	D1b2a2b
M2280											N [K2a1], N	N [K2a1], N
M2281											N [K2a1], N	N [K2a1], N
M2282											N1~	N1
M2283											N [K2a1], N, N1~	N [K2a1]~, N~, N1~
M2284											N [K2a1], N	N [K2a1], N
M2285											N [K2a1], N	N [K2a1]~, N~
M2287^											N [K2a1], N	N [K2a1], N
M2288											N [K2a1], N	N [K2a1]~, N~
M2288.2											E1a2b1a1a1a~, E1a2b1a1a1b~, E1a2b1a1a1c~, E1a2b1a1a2~	E1a2b1a1a1a~, E1a2b1a1a1b~, E1a2b1a1a1c~, E1a2b1a1a2~
M2289											N1~	N1
M229								A1b1b2a	A1b1b2a	A1b1b2a	A1b1b2a	A1b1b2a
M2290											N [K2a1], N	N [K2a1], N
M2291									N1	N1	N1	N1~
M2293											N [K2a1], N	N [K2a1]~, N~
M2294											N [K2a1], N	N [K2a1], N
M2295											N [K2a1], N	N [K2a1]~, N~
M2296											N [K2a1], N	N [K2a1], N
M2297											N1~	N1
M2298^											N1~	N1
M2299											N [K2a1], N	N1
M23	A2	A2	A2	A2	A2	A2	A1b1a1	A1b1a1	A1b1a1	A1b1a1	A1b1a1	A1b1a1
M230	K5	K5	S	S	S	S	S	S	S, Sor K2b1a4	S [K2b1a4], Sor K2b1a4, S		
M2300											N [K2a1], N	N [K2a1]~, N~
M2301												N [K2a1]~, N~
M2301^											N [K2a1], N	
M2302											N [K2a1], N	N [K2a1]~, N~
M2303											N [K2a1], N	N [K2a1]~, N~
M2304											NO1 [K2a]	NO1 [K2a]
M2305											NO1 [K2a]	NO1 [K2a]
M2306											NO1
[K2a]~	NO1
[K2a]~
M2308										NO	NO	NO
M2309											NO1 [K2a]	NO1 [K2a]
M231	N	N	N	N	N		N	N	N, Nor K2a1	N [K2a1], Nor K2a1, N	N [K2a1], N	N [K2a1], N
M2310											NO1 [K2a]	NO1 [K2a]
M2311											NO1 [K2a]	NO1 [K2a]
M2313										NO	NO	NO
M2315											NO1 [K2a]	NO1 [K2a]
M2319											NO1 [K2a]	NO1 [K2a]
M232									N	N	N [K2a1], N	N [K2a1], N
M2320											NO1 [K2a]	NO1 [K2a]
M2321											NO1 [K2a]	NO1 [K2a]
M2322											NO1 [K2a]	NO1 [K2a]
M2324											NO1 [K2a]	NO1 [K2a]
M2325											NO1 [K2a]	NO1 [K2a]
M2326											NO1 [K2a]	NO1 [K2a]
M2327											NO1 [K2a]	NO1 [K2a]
M2328											NO1 [K2a]	NO1 [K2a]
M23297											NO1 [K2a]	NO1 [K2a]
M2330											NO1 [K2a]	NO1 [K2a]
M2331											NO1 [K2a]	NO1 [K2a]
M2332											NO1 [K2a]	NO1 [K2a]
M2334											NO1 [K2a]	NO1 [K2a]
M2335										NO	NO	NO
M2336											NO1 [K2a]	NO1 [K2a]
M2338											NO1 [K2a]	NO1 [K2a]
M2339										NO	NO	NO
M234									E2b	E2b	E1b1b1b2a1a4d2b1~, E2b	E1b1b1b2a1a4d2b1~, E2b
M2340											NO1 [K2a]	NO1 [K2a]
M2341											NO1 [K2a]	NO1 [K2a]
M2342											NO1 [K2a]	NO1 [K2a]
M2344											NO1 [K2a]	NO1 [K2a]
M2345											NO1 [K2a]	NO1 [K2a]
M2346										NO	NO	NO
M2347											NO1 [K2a]	NO1 [K2a]
M2349												N [K2a1]~, N~
M2349^											N [K2a1], N	
M235		F	F	F	F		F	F	F	F	F	F
M2353											N1c1a1a1a1b1	N1a1a1a1a1a2a~
M2355^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2356											L [K1a]	L [K1a]
M2357											L1a~	L1a~
M236	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1
M2360											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2361											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2362											L [K1a]	L [K1a]
M2363											L
[K1a]~, L~	L
[K1a]~, L~
M2364^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2365											L [K1a]	L [K1a]
M2366											L [K1a]	L [K1a]
M2367^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2368											L [K1a]	L [K1a]
M2369											L [K1a]	L [K1a]
M237											E1b1b1b2a1a4d2b1~, E2a~	E1b1b1b2a1a4d2b1~, E2a~
M2370											L [K1a]	L [K1a]
M2371											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2374											L1~	L1~
M2375											L1a~	L1a~
M2379											L [K1a]	L [K1a], I2a2a1b2a1a1a1~
M238												I2c1a1a1b
M2380											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2381											L [K1a]	L [K1a]
M2382											L [K1a]	L [K1a]
M2383											L1~	L1~
M2384											L1~	L1~
M2386											L1~	L1~
M2387											L1a1c~, L1a1d~, L1a2~	L1a1c~, L1a1d~, L1a2~
M2389											L1~	L1~
M239								A1b1b2a	A1b1b2a	A1b1b2a	A1b1b2a	A1b1b2a
M2390											L [K1a]	L [K1a]
M2391											L1~	L1~
M2392											L1~	L1~
M2393											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2394											L1~	L1~
M2395											L1~	L1~
M2398											L1a1c~, L1a1d~, L1a2~	L1a1c~, L1a1d~, L1a2~
M2399											L1~	L1~
M240											C1a1~	
M2401											L1a~	L1a~
M2402^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2403											L [K1a]	L [K1a]
M2404											L [K1a]	L [K1a]
M2405											L1~	L1~
M2406											L1~	L1~
M2407											L [K1a]	L [K1a]
M2409											L1~	L1~
M241				J2b2	J2b2		J2b2	J2b2	J2b2	J2b2	J2b2	J2b2a
M2411											L [K1a]	L [K1a]
M2412^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2413											L [K1a]	L [K1a]
M2416											L1~	L1~
M2418											L1~	L1~
M2419											L1~	L1~
M241   
(formerly J2b1a)			J2b2									
M241   
(formerly J2e1b)	J2b1a	J2b1a										
M242	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q [K2b2a1], Qor K2b2a1, Q	Q [K2b2a1], Qor
K2b2a1, Q	Q
[K2b2a1], Qor
K2b2a1
M2420											L1~	L1~
M2421											L1~	L1~
M2424^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2426											L [K1a]	L [K1a]
M2427											L1~	L1~
M2429											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M243			E1b1b1b2b			E1b1b1	E1b1b1		E1b1b	E1b1b	E1b1b	E1b1b
M2430											L1~	L1~
M2432											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2435											L1~	L1~
M2437											L1~	L1~
M2438											L1~	L1~
M2439^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M243   
(M243 position relative to M281				E1b1b1	E1b1b1							
M2441^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2444											L [K1a]	L [K1a]
M2445											L1~	L1~
M2450											LT
[K1]~	LT
[K1]~
M2451											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2453											L [K1a]	L [K1a]
M2454											L [K1a]	L [K1a]
M2456											L
[K1a]~, L~	L
[K1a]~, L~
M2457											L [K1a]	L [K1a]
M2460											L1~	L1~
M2461^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2462											L1~	L1~
M2463											L [K1a]	L [K1a]
M2464											L [K1a]	L [K1a]
M2465											L1~	L1~
M2466											L [K1a]	L [K1a]
M2468											L1~	L1~
M2469											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M247						B	B	B	B, B2	B, B2	B2	B2
M2470											L [K1a]	L [K1a]
M2471											L1~	L1~
M2472											L [K1a]	L [K1a]
M2474											L
[K1a]~, L~	L
[K1a]~, L~
M2475^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2476											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2479											L [K1a]	L [K1a]
M2480											L1a~	L1a~
M2481										L1a		
M2482											L [K1a]	L [K1a]
M2485											L [K1a]	L [K1a]
M2489											L [K1a]	L [K1a]
M249												B~
M2490											L1~	L1~
M2491											L [K1a]	L [K1a]
M2492											L [K1a]	L [K1a]
M2494											L1~	L1~
M2495											L [K1a]	L [K1a]
M2496											L1~	L1~
M2497											L [K1a]	L [K1a]
M2498											L1a~	L1a~
M25	Q2	Q2	Q1a2	Q1a2	Q1a2	Q1a2	Q1a2	Q1a1b	Q1a1b	Q1a1b	Q1a1b	Q1a2
M250											E1b1b1b2a1a4d2b1~, E2a~	E1b1b1b2a1a4d2b1~, E2a~
M2500											L
[K1a]~, L~	L
[K1a]~, L~
M2503											L [K1a]	L [K1a]
M2504											L [K1a]	L [K1a]
M2507											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M251									BT	BT	BT	BT
M2517											L1~	I1a2a1a1a2a2a, L1~
M2518											L [K1a]	L [K1a]
M2520												Q1b2a1a
M2522											L [K1a]	L [K1a]
M2523											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2524											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2525											L [K1a]	L [K1a]
M2526											L
[K1a]~, L~	L
[K1a]~, L~
M2527											L
[K1a]~, L~	L
[K1a]~, L~
M2528											L [K1a]	L [K1a]
M253	I1a	I1a	I1	I1	I1	I1			I1	I1	I1	I1
M2530											L [K1a]	L [K1a]
M2531											L [K1a]	L [K1a]
M2532											L [K1a]	L [K1a]
M2533^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2535^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2536											L [K1a]	L [K1a]
M2537											L [K1a]	L [K1a]
M254	K5a	K5a		S1	S1	S1	S1	S1	S1	S1		
M2540											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2541											L [K1a]	L [K1a]
M2543											L1~	L1~
M2544											L1~	L1~
M2545											L1~	L1~
M2546											L1~	L1~
M2548											L [K1a]	L [K1a]
M2549^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M254   (formerly K5a)			S1									
M2551											L [K1a]	L [K1a]
M2552											L~	L~
M2554											L [K1a]	L [K1a]
M2555											L1a~	L1a~
M2556											L [K1a]	L [K1a]
M2557											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2558											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2559											L [K1a]	L [K1a]
M255^											C2c1	C2c1
M2560											L1~	L1~
M2561^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2564											L
[K1a]~, L~	L
[K1a]~, L~
M2565										L1a		
M2568											L1~	L1~
M2569											L [K1a]	L [K1a]
M2572											L [K1a]	L [K1a]
M2573											LT
[K1]~	LT
[K1]~
M2574^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2575											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2576											L1~	L1~
M2577											LT
[K1]~	LT
[K1]~
M2578											L [K1a]	L [K1a]
M2579											L [K1a]	L [K1a]
M258	I	I	I	I	I	I	I	I	I	I	I	I
M2581											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2583											L [K1a]	L [K1a]
M2584											L
[K1a]~, L~	L
[K1a]~, L~
M2585											LT
[K1]~	LT
[K1]~
M2586											L1~	L1~
M2587											L [K1a]	L [K1a]
M2592^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2593											L1~	L1~
M2594											L [K1a]	L [K1a]
M2595											L [K1a]	L [K1a]
M2596											L [K1a]	L [K1a]
M2597											L [K1a]	L [K1a]
M2598											L [K1a]	L [K1a]
M26			I2a1	I2a1	I2a1	I2a1a	I2a1a	I2a1a	I2a1a1	I2a1a1	I2a1a1	I2a1a1
M26 (formerly I1b2)	I1b1b	I1b1b										
M260	J2a1b1		J2a1b1	J2a4b1	J2a4b1		J2a1b1	J2a1b1	J2a1b1	J2a1b1	J2a1b1	J2a1b1
M2600											L1~	L1~
M2601^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2602											L1~	L1~
M2603											LT
[K1]~	LT
[K1]~
M2605										L1a		
M2606^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2607											L [K1a]	L [K1a]
M2608^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2609											L [K1a]	L [K1a]
M260   (formerly a part of J2f1)		J2a1b1										
M2611											L [K1a]	L [K1a]
M2612											L [K1a], L
[K1a]~, L~	L [K1a], L
[K1a]~, L~
M2613											L [K1a]	L [K1a]
M2614											L1~	L1~
M2615											L [K1a]	L [K1a]
M2617											L1~	L1~
M2618											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2619											L [K1a]	L [K1a]
M2620											L [K1a]	L [K1a]
M2621											L [K1a]	L [K1a]
M2623											L1a~	I1a1b1a4a1a1b2, L1a~
M2624											L [K1a]	L [K1a]
M2627											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2628											L [K1a]	L [K1a]
M2629											L [K1a]	L [K1a]
M263.2						E1b1a1a1f1b	E1b1a1a1f1b	E1b1a1a1f1b	E1b1a1a1c1b	E1b1a1a1c1b	E1b1a1a1a1c1b	E1b1a1a1a1c1b
M2630^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2631											L1~	L1~
M2632^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2633											L [K1a]	L [K1a]
M2635											L1~	L1~
M2637											E1b1b1b2a1a4d2b1~, E1b1b1b2b2~, L~	E1b1b1b2a1a4d2b1~, E1b1b1b2b2~, L~
M2638											L [K1a]	L [K1a]
M2639											L1~	L1~
M2640											L [K1a]	L [K1a]
M2642											L [K1a]	L [K1a]
M2644											L [K1a]	L [K1a]
M2645											L [K1a]	L [K1a]
M2646											L
[K1a]~, H1a2a2~, H1a2a3~, L~	L
[K1a]~, H1a2a2~, H1a2a3~, L~
M265		Q1	Q1a1	Q1a1	Q1a1	Q1a1	Q1a1	Q1a1a1	Q1a1a1	Q1a1a1	Q1a1a1	Q1a1a
M2650											L [K1a]	L [K1a]
M2652											L
[K1a]~, L~	L
[K1a]~, L~
M2653											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2655											L [K1a]	L [K1a]
M2657											L [K1a]	L [K1a]
M2658											LT
[K1]~	LT
[K1]~
M2659											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2660											L [K1a]	L [K1a]
M2661											L [K1a]	L [K1a]
M2662^											L1a1c~, L1a1d~	L1a1c~, L1a1d~
M2664										L1a		
M2665											L1~	L1~
M2666											L1~	L1~
M2668											L1~	L1~
M267	J1	J1	J1	J1	J1		J1	J1	J1	J1	J1	
M2670											L [K1a]	L [K1a]
M2673											L1~	L1~
M2675											L [K1a]	L [K1a]
M2676											L1~	L1~
M268	O2	O2	O2	O2	O2	O2	O2	O2	O2	O1b	O1b	O1b
M2680											L
[K1a]~, L~	L
[K1a]~, L~
M2682											IJK	IJK
M2683											IJK	IJK
M2684											IJK	IJK
M269	R1b1c	R1b1c	R1b1b2	R1b1b2	R1b1b2		R1b1a2	R1b1a2	R1b1a2	R1b1a2		
M2690.1									Q, Q1			
M2696											IJK	IJK
M27	L1	L1	L1	L1	L1		L1a	L1a	L1a	L1a1		
M270											E1b1b1b1a1b1~, M5043,M5079/Z5012, M5302,
Y8829/Z5009,Z5010,M273/Z21117, Z5011, Z21116,
Z21118, Z21121, Z21122, Z21123, Z21124, Z21125, Z21126, Z21127, Z21129,
Z21130to tree;
added	E1b1b1b1a1b1~
M2700											H1a1	H1a1
M2701											H1~, H1a	H1~, H1a
M2704											H1a1	H1a1
M2705											H1a1	H1a1
M2706									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2707											H1	H1
M2709											H1a1	H1a1
M2710											H1a1	H1a1
M2711											H1a1	H1a1
M2712											H1~, H1a	H1~, H1a
M2713									H	H	H	H
M2714											H1a1	H1a1
M2716									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2717											H1a1	H1a1
M2718									H1a1	H1a1	H1a1a	H1a1a
M2719											H1a1	H1a1
M272	K2	K2		T	T		T	T	T	T [K1b], T	T [K1b], E1b1b1b1a1c1a~, M5043,M5079/Z5012, M5302,
Y8829/Z5009,Z5010,M273/Z21117, Z5011, Z21116,
Z21118, Z21121, Z21122, Z21123, Z21124, Z21125, Z21126, Z21127, Z21129,
Z21130to tree;
added, T	T [K1b], T
M2720											H1a1	H1a1
M2721											H1	H1
M2722									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2723											H1a1	H1a1
M2724											H1a1	H1a1
M2725											H1a1	H1a1
M2726											H1a1	H1a1
M2728											H1a1a4b2c3~, H1a1a4b2c4~	H1a1a4b2c3~, H1a1a4b2c4~
M272   (formerly K2)			T									
M273											E1b1b1b1a1c3	E1b1b1b1a1c3
M2730											H1~	H1~
M2731											H1	H1
M2732									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2733									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2734											H1a1	H1a1
M2736											H1a1	H1a1
M2737									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2738											H1a1	H1a1
M2739											H1a1	H1a1
M274	L2a	L2a		L2b	L2b		L1b1b	L1b2	L1b2	L1b2	L1b2a~	L1b2a~
M2740											H1a1	H1a1
M2741									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2742											H1a1	H1a1
M2743											H1a1	H1a1
M2744											H1a1	H1a1
M2745									H1a1d	H1a1d	H1a1a4	H1a1a4
M2747												J1b1~
M2748											H1a1	H1a1
M2749											H1a1	H1a1
M274   (formerly L2a)			L2b									
M275											M5043,M5079/Z5012, M5302,
Y8829/Z5009,Z5010,M273/Z21117, Z5011, Z21116,
Z21118, Z21121, Z21122, Z21123, Z21124, Z21125, Z21126, Z21127, Z21129,
Z21130to tree;
added	
M2751											H1a1	H1a1
M2753											H1	H1
M2754											H1a1	H1a1
M2755									H1a1d2	H1a1d2		
M2756											H1a1	H1a1
M2757											H1~, H1a	H1~, H1a
M2758											H1a1	H1a1
M2759											H1a1	H1a1
M276			A2	A2	A2	A2	A1b1a1	A1b1a1	A1b1a1	A1b1a1	A1b1a1	A1b1a1
M2760									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2761											H1	H1
M2762											H1	H1
M2763											H1	H1
M2764											H1~, H1a	H1~, H1a
M2766											H1a1	H1a1
M2769									H1a1d	H1a1d		
M277			A2	A2	A2		A1b1a1		A1b1a1	A1b1a1	A1b1a1	A1b1a1
M2770											H1a1	H1a1
M2772									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2773									H	H		
M2774											H1	H1
M2775										R1b1a2a1a2c1b2b2a1	R1b1a1a2a1a2c1b2b2a1	R1b1a1a2a1a2c1a2b2b1a
M278								G2a2b2a3	G2a2b2a3	G2a2b2a2	G2a2b2a2	G2a2b2a2
M2783									N1c1a1a1a1a	N1c1a1a1a1a		
M2784.1												N1a1a1a1a1a1a1a
M2785									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2786											H1a1	H1a1
M2789									H1a1	H1a1		
M2790											H1a1	H1a1
M2791											H1a1	H1a1
M2792									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2793									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2795											H1a1	H1a1
M2796											H1a1	H1a1
M2797											H1a1	H1a1
M2798											H1a1	H1a1
M2799											H1a1	H1a1
M28	A3a	A3a	A3a	A3a	A3a	A3a	A1b1b1	A1b1b1	A1b1b1	A1b1b1	A1b1b1	A1b1b1
M280				J2b2b	J2b2b							
M2801									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2802											H1a1	H1a1
M2803												B2b1a2b2a~
M2804											H1a1	H1a1
M2805											H1a1	H1a1
M2806											H1	H1
M2807									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2809											H1a1	H1a1
M280   
(formerly J2b1a2)			J2b2b									
M280   
(formerly J2e1c)	J2b1a2	J2b1a2										
M281	E3b1d	E3b1d	E1b1b1d	E1b1b1d	E1b1b1d	E1b1b2	E1b1b2	E1b1b2	E1b1b2	E1b1b2	E1b1b2	E1b1b2
M2812											H1~, H1a	H1~, H1a
M2816											H1a1	H1a1
M2817											H1~, H1a	H1~, H1a
M2818											H1a1	H1a1
M282							F3	F3		H2	H2	H2
M2820											H1a1	H1a1
M2821											H1~	H1~
M2822											H1~, H1a	H1~, H1a
M2823									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2826									H	H	H~	H~
M2827									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2828											H1a1	H1a1
M2829											H1a1	H1a1
M282 
 (former F3)									H2			
M283			G2c1	G2c1	G2c1	G2c1	G2b1	G2b1a	G2b1a	G2b1a	G2b1a	G2b1a
M2830											H1a1	H1a1
M2831											H1a1	H1a1
M2832											H1a1	H1a1
M2833									H1a1	H1a1	H1a1a	H1a1a
M2834											H1	H1
M2835											H1	H1
M2836											H1a1	H1a1
M2839											H1a1	H1a1
M284				I2b1a	I2b1a	I2a2a1	I2a2a1	I2a2a1a	I2a2a1a1	I2a2a1a1	I2a2a1a1	I2a2a1a1
M284
   (formerly I1b2a1)			I2b1a									
M284 (formerly I1c1	I1b2a1	I1b2a1										
M2840											H1a1	H1a1
M2841											H1a1	H1a1
M2843											H1a1	H1a1
M2844											H1a1	H1a1
M2845											H1a1	H1a1
M2846									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2847											H1a1	H1a1
M2849											H1a1	H1a1
M285	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1
M2850									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2851									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2853										H1a1d2b	H1a1a4b1, H1a1a4b1a~, H1a1a4b1b~, H1a1a4b2	H1a1a4b1, H1a1a4b1a~, H1a1a4b1b~, H1a1a4b2
M2854									H1a1d2b	H1a1d2b	H1a1a4b1, H1a1a4b1a~, H1a1a4b1b~, H1a1a4b2	H1a1a4b1, H1a1a4b1a~, H1a1a4b1b~, H1a1a4b2
M2856									H	H	H~	H~
M2857											H1a1	H1a1
M2858									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2859									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M286	G2b	G2b		G2a2	G2a2	G2a2	G2a1b1	G2a2a1a	G2a2a1a	G2a2a1a1a	G2a2a1a1a	G2a2a1a1a
M2860											H1a1	H1a1
M2861											H1~, H1a	H1~, H1a
M2862									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2863											H1a1	H1a1
M2864											H1a1	H1a1
M2865											H1a1	H1a1
M2867									H1a1d2b	H1a1d2b	H1a1a4b1, H1a1a4b1a~, H1a1a4b1b~, H1a1a4b2	H1a1a4b1, H1a1a4b1a~, H1a1a4b1b~, H1a1a4b2
M2868											H1a1	H1a1
M286   (formerly G2b)			G2a2									
M287	G3	G3		G2b	G2b	G2b						
M2870											H1a1	H1a1
M2871											H1~	H1~
M2872											H1a1	H1a1
M2874											H1a1	H1a1
M2875											H1a1	H1a1
M2876									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2877											H1	H1
M2878											H1a1	H1a1
M2879											H1a1	H1a1
M287   (formerly G3)			G2b									
M288	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1
M2880									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2881									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2883											H1a1	H1a1
M2884									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2885											H1a1	H1a1
M2886											H1a1	H1a1
M2889											H1a1	H1a1
M289	J2a1f	J2a1f										
M2891											H1a1	H1a1
M2894									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2895											H1a1	H1a1
M2896									H	H	H~	H~
M2897									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2899											H1a1	H1a1
M289   (formerly J2a1f)			J2a1h2									
M289   (location under DYS445≤7 uncertain)				J2a4h1a1b	J2a4h1a1b							
M29		A2	A2	A2	A2	A2						
M290	E3b1c1b	E3b1c1b	E1b1b1c1b	E1b1b1c1b	E1b1b1c1b	E1b1b1c1b	E1b1b1b2a1b	E1b1b1b2a1b	E1b1b1b2a1b	E1b1b1b2a1b	E1b1b1b2a1a2	E1b1b1b2a1a2
M2900											H1~, H1a	H1~, H1a
M2901									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2902											H1a1	H1a1
M2903									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2904											H1a1	H1a1
M2905											H1a1	H1a1
M2908									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2909											H1a1	H1a1
M291						E1b1a1	E1b1a1	E1b1a1	E1b1a1	E1b1a1	E1b1a1	E1b1a1
M2911											H1a1	H1a1
M2912											H1a1	H1a1
M2914									H1a1d	H1a1d	H1a1a4	H1a1a4
M2915											H1a1	H1a1
M2916											H1a1	H1a1
M2917											H1a1	H1a1
M2918									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2919											H1~	H1~
M2920									H	H	H	H
M2921											H1a1	H1a1
M2922											H1a1	H1a1
M2923											H1a1	H1a1
M2925									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2926											H1a1	H1a1
M2927											H1	H1
M2928											H1a1	H1a1
M2929											H1a1	H1a1
M293			E1b1b1g	E1b1b1g	E1b1b1g	E1b1b1e	E1b1b1b2b	E1b1b1b2b	E1b1b1b2b	E1b1b1b2b	E1b1b1b2b2a1	E1b1b1b2b2a1
M2932									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2933									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2934									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2936									H	H	H	H
M2937											H1a1	H1a1
M2938									H	H		
M2939									H	H	H	H
M294	CR	CR	CF	CF	CF		CT	CT	CT	CT	CT	B~, CT
M2940									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2941											H1a1	H1a1
M2942									H	H	H	H
M2943											H1a1	H1a1
M2945									H	H	H	H
M2946											H1a1	H1a1
M2947									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2949									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M295	L	L	L	L	L		L1	L1	L1	L1		
M2950											H1a1	H1a1
M2951											H1~, H1a	H1~, H1a
M2952									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2953									H1a1	H1a1	H1a1a	H1a1a
M2954											H1~, H1a	H1~, H1a
M2955									H	H	H	H
M2956											H1~, H1a	H1~, H1a
M2957									H	H		
M2958									H	H		
M296	M		M1	M1	M1	M1	M1	M1	M1	M1	M1	M1
M2961											H1a1	H1a1
M2962											H1~	H1~
M2964											H1a1	H1a1
M2965											H1a1	H1a1
M2966									H	H	H	H
M2967											H1a1	H1a1
M2968											H1a1	H1a1
M297	O2a2	O2a2	O2a2	O2a2	O2a2	O2a1b						
M2970									H1a1	H1a1	H1a1a	H1a1a
M2971											H1a1	H1a1
M2972									H1a1d2b	H1a1d2b	H1a1a4b1, H1a1a4b1a~, H1a1a4b1b~, H1a1a4b2	H1a1a4b1, H1a1a4b1a~, H1a1a4b1b~, H1a1a4b2
M2973											H1a1	H1a1
M2974											H1a1	H1a1
M2975									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2976									H1a1	H1a1	H1a1a	H1a1a
M2977									H1a1d2	H1a1d2	H1a1a4b	H1a1a4b
M2978											H1a1	H1a1
M2979											H1a1	H1a1
